,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
1819,DTXSID20179883,,,1.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1820,DTXSID2020006,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1821,DTXSID2020054,1.5966623093046697,0.11106663447030656,70.0,8.0,0.11428571428571428,True,0.1765603253086648,1.5966623093046697,39.50593176705657,11.667594669298484
1822,DTXSID2020058,1.6237466401191432,0.19804439270550295,69.0,25.0,0.36231884057971014,True,0.1765603253086648,1.6237466401191432,42.04812553345538,12.418400563766529
1823,DTXSID2020131,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1824,DTXSID2020137,1.5105533940468876,0.0,73.0,1.0,0.0136986301369863,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1825,DTXSID2020139,1.4324627351396084,0.06594361763687379,65.0,3.0,0.046153846153846156,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1826,DTXSID2020181,0.5658442642632429,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1827,DTXSID2020189,1.4067869971583442,0.297566328463271,72.0,35.0,0.4861111111111111,True,0.1765603253086648,1.4067869971583442,25.514496189833977,7.535394975358741
1828,DTXSID2020210,,,68.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1829,DTXSID2020212,1.552971270609019,0.16289659119640051,70.0,30.0,0.42857142857142855,True,0.1765603253086648,1.552971270609019,35.72492046682208,10.550919139373114
1830,DTXSID2020216,1.6154440270308381,0.20738171569728192,71.0,18.0,0.2535211267605634,True,0.1765603253086648,1.6154440270308381,41.25190671917126,12.183247056999141
1831,DTXSID2020260,1.8102731790883233,0.14008624801201608,68.0,15.0,0.22058823529411764,True,0.1765603253086648,1.8102731790883233,64.60604849865719,19.08060773030425
1832,DTXSID2020262,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1833,DTXSID2020266,1.3598872290880344,0.35602170565284114,71.0,58.0,0.8169014084507042,True,0.1765603253086648,1.3598872290880344,22.902728727123897,6.764041339022681
1834,DTXSID2020268,,,71.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1835,DTXSID2020341,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1836,DTXSID2020345,0.3632855663526784,0.4114247226189312,63.0,56.0,0.8888888888888888,True,0.1765603253086648,0.3632855663526784,2.3082644679554694,0.6817177319206138
1837,DTXSID2020347,1.401490953248936,0.2843398086495202,73.0,11.0,0.1506849315068493,True,0.1765603253086648,1.401490953248936,25.20524674259164,7.444061926352236
